municipality_number,navn,historiske_navn,historisk_detaljer,year_created,year_stopped
1528,Sykkylven,Sykylven,til 1.10.1921,1800,2020
1529,Skodje,Skoðynar,norrønt,1800,2020
1529,Skodje,Skoue,til 1865,1800,2020
1530,Vatne,Vatna,norrønt,1800,2020
1530,Vatne,Watne,1801,1800,2020
1531,Borgund,Borgundar á Hofi,norrønt,1800,2020
1531,Borgund,Borgundkaupangen,middelalderen,1800,2020
1531,Borgund,Borgen,1801,1800,2020
1531,Borgund,Borgunds Landdistrikt,1855,1800,2020
1531,Sula,Borgunds Landdistrikt,1855,1800,2020
1532,Giske,Giske,norrønt,1800,2020
1533,Roald,"Vigrínnar, Róǫld",norrønt,1800,2020
1533,Vigra,Roald,til 1917,1800,2020
1534,Haram,Hárhamar,norrønt,1800,2020
1534,Haram,Harham,til 1875,1800,2020
1535,Vestnes,Vestness,norrønt,1800,2020
1535,Vestnes,Væstnes,1837,1800,2020
1535,Vestnes,Vestnæs,til 1900,1800,2020
1536,Sylte,Sulta í Tresfirði,norrønt,1800,2020
1536,Tresfjord,Tredsfiord,1801,1800,2020
1536,Tresfjord,Sylte,til 28.4.1922,1800,2020
1537,Eid og Vold*,Sylte,til 28.4.1922,1800,2020
1537,Voll,Valla,norrønt,1800,2020
1537,Voll,Wold,1801,1800,2020
1537,Voll,Vold,til 1917,1800,2020
1538,Eid,Eið,norrønt,1800,2020
1538,Eid,Ejd,1801,1800,2020
1539,Grytten,Grjótar,norrønt,1800,2020
1539,Grytten,Grøtten,1835,1800,2020
1539,Grytten,Gryten,til 1884,1800,2020
1539,Rauma,Raumsdal,norrønt,1800,2020
1539,Rauma,Røven,1801,1800,2020
1540,Hen,Ísfjarðar,norrønt,1800,2020
1540,Hen,Hejn,1801,1800,2020
1541,Veøy,Véey,norrønt,1800,2020
1541,Veøy,Weedøe,til 1801,1800,2020
1541,Veøy,Vedøe,til 1840,1800,2020
1541,Veøy,Veø,til 1917,1800,2020
1542,Eresfjord og Vistdal,"Øyrisfjǫrðr, Vistadalr, Síra í Eikisdalr",norrønt,1800,2020
1542,Eresfjord og Vistdal,Eridsfjorden og Wisdalen,1801,1800,2020
1542,Eresfjord og Vistdal,Erisfjord og Visdal,1900,1800,2020
1542,Eresfjord og Vistdal,Eresfjord og Vistdalen,til 1917,1800,2020
1543,Nesset,Rjóðra í Langafirði,norrønt,1800,2020
1543,Nesset,Nessæt/Næsset,til 1801,1800,2020
1543,Nesset,Næ(s)set,til 1884,1800,2020
1544,Bolsøy,Bylingseyjar,norrønt,1800,2020
1544,Bolsøy,Bulsøe,1769,1800,2020
1544,Bolsøy,Bolsøe,til 1840,1800,2020
1544,Bolsøy,Bolsø Landdistrikt,1855,1800,2020
1544,Bolsøy,Bolsø,til 1917,1800,2020
1545,Akerø*,Ǫkreyjar,norrønt,1800,2020
1545,Akerø*,Aukrin,mellomnorsk,1800,2020
1545,Akerø*,Agerøe,til 1840,1800,2020
1545,Akerø*,Agerø,1855,1800,2020
1545,Akerø*,Akerø,til 1917,1800,2020
1545,Sør-Aukra,Akerø,til 1917,1800,2020
1545,Midsund,Miðjusund,norrønt,1800,2020
1546,Sandøy,Sandeyjar,norrønt,1800,2020
1546,Sandøy,Sandø,til 1917,1800,2020
1547,Nord-Aukra,Sandø,til 1917,1800,2020
1547,Aukra,Sandø,til 1917,1800,2020
1548,Fræna,Vágeyjar,norrønt,1800,2020
1548,Fræna,Vaagøe,til 1860,1800,2020
1548,Fræna,Frænen,til 1917,1800,2020
1549,Bud,"Stimr, Búðar",norrønt,1800,2020
1549,Bud,Boe,til 1840,1800,2020
1549,Bud,Bod,til 1865,1800,2020
1550,Hustad,Hússtaðir á Stimr,norrønt,1800,2020
1551,Eide,Eið,norrønt,1800,2020
1552,Kornstad,Kornastaðir,norrønt,1800,2020
1553,Kvernes,Kvernes,norrønt,1800,2020
1553,Kvernes,Qværnæs(s),til 1840,1800,2020
1553,Kvernes,Kværnæs,1865,1800,2020
1553,Kvernes,Kvernæs,til 1884,1800,2020
1554,Bremsnes,Brimsnes,norrønt,1800,2020
1554,Bremsnes,Bremsnæs,til 1900,1800,2020
1554,Averøy,Afrøyjar,norrønt,1800,2020
1555,Grip,Grípar,norrønt,1800,2020
1555,Grip,Griip,1769,1800,2020
1555,Grip,Christianssund Landdistrikt,1855,1800,2020
1556,Fredøe (og Grip),Frœði,norrønt,1800,2020
1556,Frei,Fredøe,til 1840,1800,2020
1556,Frei,Fredøe og Grip,1865,1800,2020
1556,Frei,Fredø,til 1889,1800,2020
1557,Gjemnes,Barknafjarðar,norrønt,1800,2020
1558,Øre,Eyra í Barknarfirðí,norrønt,1800,2020
1559,Straumsnes,Straumeyjar,norrønt,1800,2020
1559,Straumsnes,Strømsnæsset,til 1884,1800,2020
1559,Straumsnes,Strømsneset,til 1917,1800,2020
1560,Tingvoll,Þingvalla,norrønt,1800,2020
1560,Tingvoll,Thingvold,til 1900,1800,2020
1560,Tingvoll,Tingvold,til 1917,1800,2020
1561,Øksendal,Usmudalr,norrønt,1800,2020
1561,Øksendal,Øxendal(en),til 1865,1800,2020
1561,Øksendal,Øksendalen,til 1917,1800,2020
1562,Ålvundeid,Ǫlfunðar,norrønt,1800,2020
1562,Ålvundeid,Ulvundeidet,til 1917,1800,2020
1562,Ålvundeid,Aalvundeid,1918,1800,2020
1563,Sunndal,Sunndalr,norrønt,1800,2020
1563,Sunndal,Sundal,1801,1800,2020
1563,Sunndal,Sunddal(en),til 1865,1800,2020
1563,Sunndal,Sundalen,til 1917,1800,2020
1564,Stangvik,Stangarvíkr,norrønt,1800,2020
1564,Stangvik,Stangvig,til 1855,1800,2020
1564,Stangvik,Stangvik og Todal,1865,1800,2020
1565,Åsskard,Ásskarð,norrønt,1800,2020
1565,Åsskard,Aasgaard(en),til 1917,1800,2020
1565,Åsskard,Aasska(a)rd,1918,1800,2020
1566,Surnadal,Súrnadalr,norrønt,1800,2020
1566,Surnadal,Surendahl,1801,1800,2020
1566,Surnadal,Surendal(en),til 1917,1800,2020
1566,Surnadal,Surndal,til 1920,1800,2020
1567,Rindal,"Rómundarstaðir, Rindal í Súrnadalr",norrønt,1800,2020
1567,Rindal,Rindalen,til 1917,1800,2020
1568,Stemshaug,Stefnishaugr,norrønt,1800,2020
1568,Stemshaug,Stemshoug,til 1865,1800,2020
1569,Aure,Aurar,norrønt,1800,2020
1569,Aure,Oure,til 1840,1800,2020
1570,Valsøyfjord,Vallangsfjǫrðr,norrønt,1800,2020
1570,Valsøyfjord,Valsøfjorden,til 1917,1800,2020
1571,Halsa,Hǫlsynjar,norrønt,1800,2020
1571,Halsa,Halse,til 1917,1800,2020
1572,Tustna,Þust,norrønt,1800,2020
1572,Tustna,Tustern,1865,1800,2020
1572,Tustna,Tusteren,til 1917,1800,2020
1573,Edøy,Æðeyjar,norrønt,1800,2020
1573,Edøy,Edøe(n),til 1840,1800,2020
1573,Edøy,Ædø,1865,1800,2020
1573,Edøy,Edø(en),til 1917,1800,2020
1573,Smøla,Smyl,norrønt,1800,2020
1573,Smøla,Smølen,til 1917,1800,2020
1574,Brattvær,Brjǫtver,norrønt,1800,2020
1574,Brattvær,Bratvær,til 22.4.1938,1800,2020
1575,Hopen,"Veiðu, Hópr",norrønt,1800,2020
1576,Aure,"Veiðu, Hópr",norrønt,1800,2020
1577,Volda,"Veiðu, Hópr",norrønt,1800,2020
1578,Fjord,"Veiðu, Hópr",norrønt,1800,2020
1579,Hustadvika,"Veiðu, Hópr",norrønt,1800,2020
1580,Haram,"Veiðu, Hópr",norrønt,1800,2020
1601,Trondhjem,Niðarósi,norrønt,1800,2020
1601,Nidaros,Copenga,ca 1130,1800,2020
1601,Trondheim,Trundhiem,1733,1800,2020
1601,Trondheim,Trondhiem,1801,1800,2020
1601,Trondheim,Throndhjem,1865,1800,2020
1611,Vinje,Vinju í Fjǫlni,norrønt,1800,2020
1611,Vinje,Winge,1801,1800,2020
1612,Hemne,"Soðinar, Hefni",norrønt,1800,2020
1612,Hemne,Hevne,til 1917,1800,2020
1613,Snillfjord,Snilfjord,til 19.8.1938,1800,2020
1614,Heim,Heimr,norrønt,1800,2020
1615,Sandstad,Sandulfsstaðir,norrønt,1800,2020
1616,Fillan,Ulfa í Hítrum,norrønt,1800,2020
1616,Fillan,Filland,1801,1800,2020
1617,Hitra,"Ámundaráss, Dolmú í Hítrum",norrønt,1800,2020
1617,Hitra,Amund(ar)aas,1400-tallet,1800,2020
1617,Hitra,Hiteren,til 1865,1800,2020
1617,Hitra,Hitteren,til 1917,1800,2020
1618,Kvenvær,Kvennaver,norrønt,1800,2020
1618,Kvenvær,Qværnvær,1801,1800,2020
1619,Frøien,Frey,norrønt,1800,2020
1619,Sør-Frøya,Sørfrøya,til 1917,1800,2020
1620,Nord-Frøya,Nordfrøya,til 1917,1800,2020
1620,Frøya,Nordfrøya,til 1917,1800,2020
1621,Ørland,Yrjar,norrønt,1800,2020
1621,Ørland,Øreland,til 1801,1800,2020
1621,Ørland,Ørlandet,til 1917,1800,2020
1622,Værnes,Agðaness,norrønt,1800,2020
1622,Agdenes,Værnes,til 17.5.1897,1800,2020
1622,Agdenes,Agdenæs,til 1917,1800,2020
1623,Lensvik,Leiðangrsvík,norrønt,1800,2020
1623,Lensvik,Lensviken,til 1917,1800,2020
1624,Rissa,Rissi,norrønt,1800,2020
1624,Rissa,Ridsen,1801,1800,2020
1624,Rissa,Rissen,til 1917,1800,2020
1625,Stadsbygd,Álfshaug á Staðr,norrønt,1800,2020
1625,Stadsbygd,Stadsbøygden,1801,1800,2020
1625,Stadsbygd,Stadsbygden,til 1917,1800,2020
1626,Skjørn,Stjórn,norrønt,1800,2020
1626,Stjørna,Skjørn,til 1917,1800,2020
1627,Bjugn,Bjúgnar,norrønt,1800,2020
1627,Bjugn,Bjugne,1801,1800,2020
1628,Nes,Nes,norrønt,1800,2020
1628,Nes,Næs,1801,1800,2020
1629,Jøssund,Jussund í Seljuhverfi,norrønt,1800,2020
1629,Jøssund,Jøsund,1801,1800,2020
1630,Åfjord,Á(r),norrønt,1800,2020
1630,Å,Aafiord,1801,1800,2020
1630,Å,Aafjord(en),til 1892,1800,2020
1630,Å,Aa,til 1918,1800,2020
1630,Å,Å,til 13.7.1934,1800,2020
1631,Stoksund,Stokksund á Repseiði,norrønt,1800,2020
1632,Bjørnør*,Bjarnaura,norrønt,1800,2020
1632,Bjørnør*,Biørnøer,til 1801,1800,2020
1632,Roan,Róða,norrønt,1800,2020
1633,Osen,Óss,norrønt,1800,2020
1634,Oppdal,Uppdalr,norrønt,1800,2020
1634,Oppdal,Opdahl,1801,1800,2020
1634,Oppdal,Opdal,til 1950,1800,2020
1635,Rennebu1,Rennabúi,norrønt,1800,2020
1635,Rennebu1,Renneboe,1801,1800,2020
1635,Rennebu1,Rennebo,1865,1800,2020
1636,Meldal,Meðaldal,norrønt,1800,2020
1636,Meldal,Meldaell,1533,1800,2020
1636,Meldal,Meldalen,til 1917,1800,2020
1637,Orkland,Meldalen,til 1917,1800,2020
1638,Orkdal,Orkaðalr,norrønt,1800,2020
1638,Orkdal,Ørchedal,1769,1800,2020
1638,Orkdal,Ørkedal(en),til 1865,1800,2020
1638,Orkdal,Orkedal,1875,1800,2020
1638,Orkdal,Orkedalen,til 1917,1800,2020
1638,Orkdal,Orkedal,til 1922,1800,2020
1639,Orkanger,Orkdalsøren,til 1920,1800,2020
1640,Røros,Røyros,norrønt,1800,2020
1640,Røros,Irgensthal,1673,1800,2020
1640,Røros,Røraas,til 1918,1800,2020
1641,Røros landsogn,Røraas,til 1918,1800,2020
1642,Brekken,Brekka,norrønt,1800,2020
1643,Glåmos,Brekka,norrønt,1800,2020
1644,Ålen,Hof í Áli,norrønt,1800,2020
1644,Ålen,Aalen,til 1918,1800,2020
1644,Holtålen,Aalen,til 1918,1800,2020
1645,Holtaalen,"Holtál, Holtdalr",norrønt,1800,2020
1645,Haltdalen,Holtaalen,til 1918,1800,2020
1645,Haltdalen,Holtålen,til 1.1.1938,1800,2020
1646,Singsås,Singisakr,norrønt,1800,2020
1646,Singsås,Singsaas,til 1918,1800,2020
1647,Budal,Budahl,1801,1800,2020
1647,Budal,Budalen,til 1917,1800,2020
1648,Støren,Staurin,norrønt,1800,2020
1648,Midtre Gauldal,Staurin,norrønt,1800,2020
1649,Soknedal,Hofs í Sóknadalr,norrønt,1800,2020
1649,Soknedal,Sognedahlen,til 1801,1800,2020
1649,Soknedal,Soknedalen,til 1917,1800,2020
1650,Horg,Grinni,norrønt,1800,2020
1650,Horg,Horrig,1801,1800,2020
1651,Hølandet,Kolbrandstaða í Heylǫndum,norrønt,1800,2020
1651,Hølonda,Høelandet,1801,1800,2020
1651,Hølonda,Høilandet,til 1900,1800,2020
1651,Hølonda,Hølandet,til 23.1.1931,1800,2020
1652,Flå,Fláa,norrønt,1800,2020
1652,Flå,Flaae,1801,1800,2020
1652,Flå,Flaa,til 1918,1800,2020
1653,Melhus,Meðalhúss,norrønt,1800,2020
1653,Melhus,Meelhuus,1801,1800,2020
1653,Melhus,Melhuus,1855,1800,2020
1654,Leinstrand,Leinastrǫnd,norrønt,1800,2020
1654,Leinstrand,Lindstranden,1801,1800,2020
1654,Leinstrand,Leinstranden,til 1917,1800,2020
1655,Byneset,"Nesi, Búnes",norrønt,1800,2020
1655,Byneset,Bynes,til 1865,1800,2020
1655,Byneset,Bynæs(s)et,til 1884,1800,2020
1655,Byneset,Bynesset,1898,1800,2020
1656,Buvik,Boðvík,norrønt,1800,2020
1656,Buvik,Buvigen,1801,1800,2020
1656,Buvik,Budviken,1865,1800,2020
1656,Buvik,Buviken,til 1917,1800,2020
1657,Børseskognen,Skaun,norrønt,1800,2020
1657,Skaun,Skogn,1801,1800,2020
1657,Skaun,Børseskognen,til 1917,1800,2020
1657,Skaun,Børseskogn,til 1.1.1930,1800,2020
1658,Børsa,Birgsi,norrønt,1800,2020
1658,Børsa,Børssen,1855,1800,2020
1658,Børsa,Børgsen,1865,1800,2020
1658,Børsa,Børsen,til 1917,1800,2020
1659,Geitastrand,Gjeten Strǫnd,norrønt,1800,2020
1659,Geitastrand,Gjeitestranden,til 1917,1800,2020
1659,Geitastrand,Gjeitastrand,til 1920,1800,2020
1660,Strinda,Strind,norrønt,1800,2020
1660,Strinda,Strindens Landdistrikt,1855,1800,2020
1660,Strinda,Strinden,til 1917,1800,2020
1661,Tiller,Tildra,norrønt,1800,2020
1661,Tiller,Tilder,til 1917,1800,2020
1662,Klæbu,Kleppabú,norrønt,1800,2020
1662,Klæbu,Klæboe,1769,1800,2020
1662,Klæbu,Klæbo,til 1865,1800,2020
1662,Klæbu,Klæbbu,1875,1800,2020
1663,Malvik,Manvíkr,norrønt,1800,2020
1663,Malvik,Malvig,1801,1800,2020
1664,Selbu,Selabúi,norrønt,1800,2020
1664,Selbu,Sælboe,1801,1800,2020
1664,Selbu,Selbo(e),til 1865,1800,2020
1665,Tydal,Þýðdalr,norrønt,1800,2020
1665,Tydal,Tydalen,til 1917,1800,2020
1701,Levanger◎,Lifangr,norrønt,1800,2020
1702,Steinkjer,Stenkjær,til 1925,1800,2020
1703,Namsos,Stenkjær,til 1925,1800,2020
1711,Øvre Stjørdalen,Øvre Størdalen,til 1866,1800,2020
1711,Meråker,Merakr,norrønt,1800,2020
1711,Meråker,Merager,1801,1800,2020
1711,Meråker,Meraker,til 1917,1800,2020
1712,Hegra,Hegrin,norrønt,1800,2020
1712,Hegra,Hægre,1801,1800,2020
1712,Hegra,Hegre,til 1917,1800,2020
1713,Lånke,Lexudalr,norrønt,1800,2020
1713,Lånke,Lunche,1801,1800,2020
1713,Lånke,Laanke,til 1917,1800,2020
1714,Størdalen*,"Varnes, Stjóradalr",norrønt,1800,2020
1714,Størdalen*,Styrdal,1589,1800,2020
1714,Størdalen*,Størdalen,til 1866,1800,2020
1714,Nedre Stjørdalen,Nedre Størdalen,til 1865,1800,2020
1714,Stjørdal,Stjørdalen,til 1917,1800,2020
1715,Skatval,Skatvalar,norrønt,1800,2020
1715,Skatval,Schatvold,1801,1800,2020
1715,Skatval,Skatvold,til 1884,1800,2020
1716,Åsen,"Ásfjǫrðr, Ásen",norrønt,1800,2020
1716,Åsen,Aasen,til 1917,1800,2020
1717,Frosta,"Lagatún, Frostaðir",norrønt,1800,2020
1717,Frosta,Frosten,til 31.12.1908,1800,2020
1718,Leksvik,Lexuvíkr,norrønt,1800,2020
1718,Leksvik,Lexvigen,til 1801,1800,2020
1718,Leksvik,Lexviken,1865,1800,2020
1718,Leksvik,Leksviken,til 1917,1800,2020
1719,Skogn,Skaun,norrønt,1800,2020
1719,Skogn,Skaugen,1589,1800,2020
1719,Skogn,Schongen,1769,1800,2020
1719,Skogn,Skognen,1835,1800,2020
1719,Levanger,Skognen,1835,1800,2020
1720,Frol,Fról,norrønt,1800,2020
1720,Frol,Levanger Landdistrikt,til 1875,1800,2020
1720,Frol,Levanger herred,til 1920,1800,2020
1721,Verdal,Veradalr,norrønt,1800,2020
1721,Verdal,Wærdahl(en),til 1801,1800,2020
1721,Verdal,Værdalen,til 1917,1800,2020
1722,Ytterøy,Yttrieyjar,norrønt,1800,2020
1722,Ytterøy,Ytterøe,1801,1800,2020
1722,Ytterøy,Ytterøen,til 1917,1800,2020
1723,Mosviken og Verran,Ytterøen,til 1917,1800,2020
1723,Mosvik,Másarvík,norrønt,1800,2020
1723,Mosvik,Mosvigen,1801,1800,2020
1723,Mosvik,Mosviken,til 1917,1800,2020
1724,Verran,Vera,norrønt,1800,2020
1724,Verran,Wærran,1801,1800,2020
1725,Namdalseid,Eldueið,norrønt,1800,2020
1725,Namdalseid,E(i)lden,inntil 1801,1800,2020
1725,Namdalseid,Aas,1853-94,1800,2020
1725,Namdalseid,Namdalseidet,til 1917,1800,2020
1726,Malm,Reita,norrønt,1800,2020
1726,Malm,"Malmø, Malme",1800-tallet,1800,2020
1727,Beitstad,Solberga á Beitisstǫð,norrønt,1800,2020
1727,Beitstad,Bedstaden,til 1801,1800,2020
1727,Beitstad,Beitstaden,til 1917,1800,2020
1728,Hustad,Húsastaða á Eynni Iðri,norrønt,1800,2020
1728,Sandvollan,Hustad,til 16.10.1911,1800,2020
1729,Inderøy,"Saurshaug, Eynni Iðri",norrønt,1800,2020
1729,Inderøy,Inderøe,1801,1800,2020
1729,Inderøy,Inderøen,til 1917,1800,2020
1730,Røra,Ryrinar,norrønt,1800,2020
1730,Røra,Sahlberg,1801,1800,2020
1730,Røra,Salberg,1865,1800,2020
1731,Sparbu,Mœrinnar í Sparabúi,norrønt,1800,2020
1731,Sparbu,Sparboen,til 1801,1800,2020
1731,Sparbu,Sparbuen,til 1917,1800,2020
1732,Skei,Skeðis í Ógnardalr,norrønt,1800,2020
1732,Ogndal,Schey,1801,1800,2020
1732,Ogndal,Skei,til 13.12.1900,1800,2020
1732,Ogndal,Ogn(a)dalen,til 1917,1800,2020
1733,Egge,"Eggja, Vigmunðar",norrønt,1800,2020
1733,Egge,Vemunden,1533,1800,2020
1734,Stod,Stóð,norrønt,1800,2020
1734,Stod,Stoed,til 1801,1800,2020
1735,Kvam,"Skaun, Hvam",norrønt,1800,2020
1735,Kvam,Qvam,1801,1800,2020
1736,Snåsa,Snǫs,norrønt,1800,2020
1736,Snåsa,Snasar,mellomnorsk,1800,2020
1736,Snåsa,Sneeaasen,1801,1800,2020
1736,Snåsa,Snaasen,til 1917,1800,2020
1737,Lierne,Findlierne,1801,1800,2020
1737,Lierne,Liderne,til 1872,1800,2020
1737,Sørli,Søndre Findlie,1801,1800,2020
1738,Nordli,Nordre Findlie,1801,1800,2020
1738,Lierne,Nordre Findlie,1801,1800,2020
1739,Røyrvik,Rørvik,til 1903,1800,2020
1740,Namsskogan,Rørvik,til 1903,1800,2020
1741,Harran,"Glaðshaug, Hareið",norrønt,1800,2020
1741,Harran,Haran,1801,1800,2020
1742,Grong,Gróðingja,norrønt,1800,2020
1742,Grong,Granungœ,mellomnorsk,1800,2020
1742,Grong,Grang,1589,1800,2020
1742,Grong,Grogn,1865,1800,2020
1743,Høylandet,Raumastaða,norrønt,1800,2020
1743,Høylandet,Høeland,1801,1800,2020
1743,Høylandet,Hølandet,til 1917,1800,2020
1744,Overhalla,efri Halfa,norrønt,1800,2020
1744,Overhalla,Overhalden,til 1884,1800,2020
1744,Overhalla,Overhallen,til 1917,1800,2020
1745,Sævik,Sœvíkr,norrønt,1800,2020
1745,Namsos Landdistrikt,Namsos Landdistrikt,til 1876,1800,2020
1745,Vemundvik,Namsos Landdistrikt,til 1876,1800,2020
1746,Klinga,Klinga,norrønt,1800,2020
1746,Klinga,Klingen,til 1917,1800,2020
1747,Otterøy,Otrey,norrønt,1800,2020
1748,Fosnes,Fósnes,norrønt,1800,2020
1748,Fosnes,Foesnes,1769,1800,2020
1748,Fosnes,Fosnæs,til 1884,1800,2020
1749,Flatanger,Flatrangr,norrønt,1800,2020
1749,Flatanger,Fladanger,1801,1800,2020
1750,Vikna,Vikr,norrønt,1800,2020
1750,Vikna,Vigten,1801,1800,2020
1750,Vikna,Vikten,til 1917,1800,2020
1751,Nærøy,Njarðeyjar,norrønt,1800,2020
1751,Nærøy,Nærøe,til 1801,1800,2020
1751,Nærøy,Nærø,til 1917,1800,2020
1752,Kolvereid og Foldereid*,Kolfareiði,norrønt,1800,2020
1752,Kolvereid,Kolfareiði,norrønt,1800,2020
1753,Foldereid,Foldareið,norrønt,1800,2020
1753,Foldereid,Falderejd,1801,1800,2020
1754,Gravvik,Grǫfvíkr,norrønt,1800,2020
1754,Gravvik,Gravik,til 1917,1800,2020
1755,Leka,Skeiðis á Leku,norrønt,1800,2020
1755,Leka,Lechøe,1801,1800,2020
1755,Leka,Lekø,til 1884,1800,2020
1756,Inderøy,Lekø,til 1884,1800,2020
1780,Sørbindalen,Vatsáss í Birnudalr,norrønt,1800,2020
1804,Bodø,Bodøe(n),til 1840,1800,2020
1805,Narvik,Narduigh/Noruigen,1567,1800,2020
1805,Narvik,Victoriahavn,1897,1800,2020
1806,Svolvær◎,Svǫlver,norrønt,1800,2020
1806,Narvik,Svǫlver,norrønt,1800,2020
1811,Nordbindalen,Sund í Birnudalr,norrønt,1800,2020
1811,Bindal,Birnudalr,norrønt,1800,2020
1811,Bindal,Bindalen,til 1917,1800,2020
1812,Vik,Víka í Sœfninni,norrønt,1800,2020
1812,Sømna,Wiig,1801,1800,2020
1812,Sømna,Vik,til 13.11.1940,1800,2020
1813,Velfjord,Harmr,norrønt,1800,2020
1813,Velfjord,Velfjorden,til 1908,1800,2020
1813,Brønnøy,Velfjorden,til 1908,1800,2020
1814,Brønnøy,Brunneyjar,norrønt,1800,2020
1814,Brønnøy,Brynnie,1533,1800,2020
1814,Brønnøy,Brynøen,1600-tallet,1800,2020
1814,Brønnøy,Brønø(e),til 1875,1800,2020
1814,Brønnøy,Brønnø,til 1908,1800,2020
1815,Vega,Veiga,norrønt,1800,2020
1815,Vega,Wægen,til 1769,1800,2020
1815,Vega,Vægøe(n),til 1840,1800,2020
1815,Vega,Vegø,til 1884,1800,2020
1816,Vevelstad,Vifilsstaðir,norrønt,1800,2020
1816,Vevelstad,Wævelstad,1810,1800,2020
1816,Vevelstad,Vivelstad,til 1876,1800,2020
1817,Tjøtta,Þjóttu,norrønt,1800,2020
1817,Tjøtta,Thiøtø,1801,1800,2020
1817,Tjøtta,Tjøtø,til 1865,1800,2020
1817,Tjøtta,Tjøttø,til 1884,1800,2020
1818,Herøy,Hereyjar,norrønt,1800,2020
1818,Herøy,Herrøe,1801,1800,2020
1818,Herøy,Herø,til 1908,1800,2020
1819,Nordvik,Norðvíkr,norrønt,1800,2020
1819,Nordvik,Nordviken,til 1917,1800,2020
1820,Alstahaug,Álastarhaug,norrønt,1800,2020
1820,Alstahaug,Alstahoug,til 1865,1800,2020
1821,Stamnes,"Sandnes í Álǫst, Stafnnes",norrønt,1800,2020
1821,Sandnessjøen,Stamnes,til 1.7.1948,1800,2020
1822,Leirfjord,"Leiraland, Leirafjǫrðr",norrønt,1800,2020
1823,Drevja,Drevjuland,norrønt,1800,2020
1823,Drevja,Drevjen,til 1917,1800,2020
1824,Vefsn,Vefsnir,norrønt,1800,2020
1824,Vefsn,Wefsen,1769,1800,2020
1824,Vefsn,Væfsen,til 1801,1800,2020
1824,Vefsn,Vefsen,til 1917,1800,2020
1825,Grane,Grǫna,norrønt,1800,2020
1826,Hattfjelldal,Hatfjelddalen,til 1908,1800,2020
1826,Hattfjelldal,Hatfjelldalen,til 1917,1800,2020
1826,Hattfjelldal,Hatfjelldal,til 29.1.1926,1800,2020
1827,Dønnes,Dynjarnes,norrønt,1800,2020
1827,Dønna,Dønnæs,1801,1800,2020
1827,Dønna,Dønnes,til 1962,1800,2020
1828,Nesna,Nesna,norrønt,1800,2020
1828,Nesna,Ytre Ranen,1731,1800,2020
1828,Nesna,Næsne,til 1884,1800,2020
1828,Nesna,Nesne,til 1908,1800,2020
1829,Elsfjord,Eilífsfjǫrðr,norrønt,1800,2020
1830,Korgen,Korga,norrønt,1800,2020
1831,Sør-Rana,Korga,norrønt,1800,2020
1832,Hemnes,Heimness,norrønt,1800,2020
1832,Hemnes,Indre Ranen,1731,1800,2020
1832,Hemnes,Hæmnes/Hemnæs,til 1801,1800,2020
1832,Hemnes,Søndre Ranen,1839,1800,2020
1832,Hemnes,Heimnes,1865,1800,2020
1832,Hemnes,Hemnæs,1884,1800,2020
1833,Ranen*,Ráðund,norrønt,1800,2020
1833,Ranen*,Ranen,1801,1800,2020
1833,Mo,Mór,norrønt,1800,2020
1833,Mo,Moe,1801,1800,2020
1833,Mo,Nordre Ranen,1839,1800,2020
1833,Mo,Mo herred,1920,1800,2020
1833,Nord-Rana,Mo herred,1920,1800,2020
1833,Rana,Mo herred,1920,1800,2020
1834,Lurøy,Lúðreyjar,norrønt,1800,2020
1834,Lurøy,Lurøe,til 1840,1800,2020
1834,Lurøy,Lurø,til 1908,1800,2020
1835,Træna,Þriðnar,norrønt,1800,2020
1835,Træna,Treen,1533,1800,2020
1835,Træna,Trænen,til 1908,1800,2020
1836,Rødøy,Rauðeyjar,norrønt,1800,2020
1836,Rødøy,Rødøen,til 1840,1800,2020
1836,Rødøy,Rødø,til 1908,1800,2020
1837,Meløy,Mjǫlu,norrønt,1800,2020
1837,Meløy,Meløe,1801,1800,2020
1837,Meløy,Melø,til 1908,1800,2020
1838,Gildeskål,Gildisskáli,norrønt,1800,2020
1838,Gildeskål,Gilleskaal,til 1801,1800,2020
1838,Gildeskål,Gildeskaal,til 1918,1800,2020
1839,Beiarn,Beðinn,norrønt,1800,2020
1839,Beiarn,Bejeren,1801,1800,2020
1839,Beiarn,Beieren,til 1908,1800,2020
1840,Saltdal,Salptardalr,norrønt,1800,2020
1840,Saltdal,Saltdalen,til 1917,1800,2020
1841,Fauske,Fauskar,norrønt,1800,2020
1842,Skjerstad,Skírastaða,norrønt,1800,2020
1842,Skjerstad,Skiærstad,1769,1800,2020
1842,Skjerstad,Scherstad,1801,1800,2020
1842,Skjerstad,Salpta,norrønt,1800,2020
1843,Bodin,Boðinjar,norrønt,1800,2020
1843,Bodin,Bodø(e) Landdistrikt,til 1875,1800,2020
1843,Bodin,Bodø,til 1896,1800,2020
1844,Kjerringøy,Kjerlingey,norrønt,1800,2020
1844,Kjerringøy,Kierringøe,1801,1800,2020
1844,Kjerringøy,Kjerringø,til 1908,1800,2020
1845,Folden*,Fold,norrønt,1800,2020
1845,Sørfold,Reyrstaða,norrønt,1800,2020
1845,Sørfold,Sørfolden,til 1908,1800,2020
1846,Nordfolden-Kjerringø,Sørfolden,til 1908,1800,2020
1846,Nordfold,Nordfolden,til 1908,1800,2020
